Dấu thời gian,Số lượng người ở trong phòng trọ , Diện tích phòng trọ của bạn là bao nhiêu mét vuông?,Phòng trọ của bạn có bao nhiêu lầu?, Loại phòng trọ của bạn là gì?,Phòng trọ của bạn có tủ lạnh không, Phòng trọ của bạn có bao nhiêu cái quạt?,Phòng trọ của bạn có bao nhiêu cái máy lạnh?,Trung bình mỗi ngày bật máy lạnh bao nhiêu giờ? ,Trung bình tiền điện 1 tháng của bạn là bao nhiêu? ,Giá điện chủ trọ thu hiện tại của bạn là bao nhiêu tiền/kWh (1 ký điện)?
07/05/2026 08:42:39,2,23,3,Ký túc xá,Có,2,1,4,952000,3500
07/05/2026 09:03:43,3,50,9,Chung cư,Có,2,3,7,2052000,2500
07/05/2026 09:06:49,1,25,4,Phòng trọ bình thường bình thường,Có,1,0,0,448000,3800
07/05/2026 09:17:45,2,25,2,Chung cư mini,Có,2,1,11,1843000,3800
07/05/2026 09:32:24,4,53,7,Chung cư,Có,3,1,13,1478000,2500
07/05/2026 10:54:29,3,25,4,Phòng trọ bình thường,Có,1,1,7,1300000,3800
07/05/2026 11:33:25,5,78,4,Nhà nguyên căn,Có,3,1,7,935000,2500
07/05/2026 11:48:43,5,85,0,Chung cư,Có,3,3,6,2590000,3500
07/05/2026 11:51:05,3,46,19,Chung cư,Có,2,3,7,2481000,3000
07/05/2026 12:24:58,2,101,9,Chung cư,Có,3,1,10,1722000,3500
07/05/2026 14:48:26,2,20,4,Phòng trọ bình thường,Có,2,1,13,2240000,4000
07/05/2026 14:52:00,3,18,4,Phòng trọ bình thường,Không,1,0,0,332000,4000
07/05/2026 15:22:45,2,85,8,Nhà nguyên căn,Có,3,2,9,1885000,2500
07/05/2026 15:45:33,2,54,19,Chung cư,Có,3,2,9,2590000,3500
07/05/2026 16:22:51,4,79,1,Nhà nguyên căn,Có,3,1,8,1494000,3500
07/05/2026 16:38:05,5,114,9,Chung cư,Có,4,1,5,1050000,3000
07/05/2026 18:00:42,5,95,14,Nhà nguyên căn,Có,2,1,13,1939000,3500
07/05/2026 18:19:17,2,26,0,Phòng trọ bình thường,Có,1,1,9,1516000,3800
07/05/2026 18:26:54,2,17,2,Phòng trọ bình thường,Có,2,0,0,552000,4000
07/05/2026 18:36:09,1,26,3,Phòng trọ bình thường,Có,2,0,0,564000,4000
07/05/2026 18:56:12,2,92,14,Chung cư,Có,4,3,13,3650000,2500
07/05/2026 21:16:29,1,24,1,Phòng trọ bình thường,Không,2,1,11,1824000,4000
07/05/2026 23:10:09,2,29,1,Phòng trọ bình thường,Có,1,0,0,413000,3500
07/05/2026 23:59:46,3,85,6,Chung cư,Có,2,1,4,903000,3500
08/05/2026 00:07:59,4,113,7,Chung cư,Có,4,3,13,4404000,3000
08/05/2026 00:32:31,5,61,6,Chung cư,Có,3,1,6,1035000,3000
08/05/2026 02:11:01,4,82,11,Nhà nguyên căn,Có,4,1,10,1757000,3500
08/05/2026 02:15:24,2,18,4,Chung cư mini,Không,1,1,6,1068000,3800
08/05/2026 02:46:03,3,21,0,Phòng trọ bình thường,Có,1,1,5,1164000,4000
08/05/2026 03:22:30,3,17,3,Phòng trọ bình thường,Có,1,1,13,2200000,4000
08/05/2026 04:20:03,3,102,0,Chung cư,Có,4,2,4,1302000,3000
08/05/2026 04:45:29,2,24,4,Chung cư mini,Có,1,1,4,854000,3500
08/05/2026 05:07:41,3,22,1,Ký túc xá,Có,1,1,12,1911000,3800
08/05/2026 05:53:10,3,18,3,Phòng trọ bình thường,Có,1,1,13,1858000,3500
08/05/2026 06:18:19,2,25,1,Phòng trọ bình thường,Có,1,1,13,2220000,4000
08/05/2026 07:31:18,2,27,3,Phòng trọ bình thường,Không,2,0,0,356000,4000
08/05/2026 07:58:38,2,16,1,Phòng trọ bình thường,Có,1,1,7,1400000,4000
08/05/2026 08:06:41,3,18,0,Ký túc xá,Có,2,1,5,1193000,3800
08/05/2026 09:24:12,5,107,1,Chung cư,Có,4,3,8,2868000,3000
08/05/2026 11:41:45,1,27,2,Chung cư mini,Có,2,1,11,2000000,4000
08/05/2026 12:10:14,3,16,4,Phòng trọ bình thường,Có,1,0,0,374000,3500
08/05/2026 12:14:16,3,98,8,Chung cư,Có,4,2,5,1235000,2500
08/05/2026 12:30:42,5,101,2,Nhà nguyên căn,Có,4,3,6,2340000,3000
08/05/2026 13:24:40,1,16,1,Ký túc xá,Có,1,1,5,1072000,3800
08/05/2026 13:32:43,3,61,16,Chung cư,Có,4,1,10,1282000,2500
08/05/2026 13:55:49,3,15,1,Ký túc xá,Có,1,0,0,464000,3800
08/05/2026 14:28:23,2,93,6,Nhà nguyên căn,Có,2,3,5,1905000,3000
08/05/2026 15:15:46,3,23,2,Ký túc xá,Có,1,0,0,476000,4000
08/05/2026 15:24:02,2,28,0,Phòng trọ bình thường,Có,2,1,10,1812000,4000
08/05/2026 15:44:37,5,70,12,Chung cư,Có,3,3,13,5078000,3500
08/05/2026 16:52:27,3,27,3,Ký túc xá,Có,2,0,0,572000,4000
08/05/2026 18:02:21,5,95,1,Chung cư,Có,2,1,5,939000,3000
08/05/2026 19:44:07,5,117,19,Chung cư,Có,4,3,11,4414000,3500
08/05/2026 21:00:11,1,29,4,Ký túc xá,Có,2,0,0,462000,3500
08/05/2026 22:06:34,1,27,1,Phòng trọ bình thường,Có,1,1,8,1556000,4000
08/05/2026 22:22:25,1,20,3,Ký túc xá,Có,1,1,6,1240000,4000
08/05/2026 22:51:29,3,27,3,Phòng trọ bình thường,Có,2,0,0,500000,3500
08/05/2026 23:28:40,5,45,15,Nhà nguyên căn,Có,4,1,5,822000,2500
08/05/2026 23:32:47,4,75,8,Chung cư,Có,2,1,13,1731000,3000
